Date,^GSPC,^FTSE,^N225,EEM,GC=F,TLT,GBPUSD=X,JPY=X
2009-01-01,,,,,,,0.0,0.0
2009-01-02,4048270000.0,407295500.0,,69494900.0,46.0,3464200.0,0.0,0.0
2009-01-05,5413910000.0,836676100.0,84900000.0,64779500.0,35.0,5395200.0,0.0,0.0
2009-01-06,5392620000.0,1036086000.0,154800000.0,67960000.0,113.0,4109300.0,0.0,0.0
2009-01-07,4704940000.0,1059568400.0,205600000.0,83175000.0,101.0,2565600.0,0.0,0.0
2009-01-08,4991550000.0,923008000.0,149900000.0,56783900.0,255.0,2603600.0,0.0,0.0
2009-01-09,4716500000.0,979530100.0,137000000.0,103377500.0,123.0,2727900.0,0.0,0.0
2009-01-12,4725050000.0,785473900.0,,65283500.0,72.0,2462800.0,0.0,0.0
2009-01-13,5567460000.0,928429000.0,135600000.0,55003100.0,20.0,1767400.0,0.0,0.0
2009-01-14,5407880000.0,1309107200.0,132700000.0,103322800.0,5.0,2494800.0,0.0,0.0
2009-01-15,7807350000.0,1247030300.0,158300000.0,109003500.0,16.0,2827200.0,0.0,0.0
2009-01-16,6786040000.0,1380947500.0,140600000.0,79520400.0,64.0,2994800.0,0.0,0.0
2009-01-19,,1879365100.0,102600000.0,,,,0.0,0.0
2009-01-20,6375230000.0,2078463800.0,127900000.0,126067100.0,20.0,3268300.0,0.0,0.0
2009-01-21,6467830000.0,2068435600.0,147100000.0,103794300.0,37.0,2838100.0,0.0,0.0
2009-01-22,5843830000.0,1614858900.0,142600000.0,83312100.0,57.0,4016600.0,0.0,0.0
2009-01-23,5832160000.0,1508583500.0,119800000.0,77371100.0,52.0,2676200.0,0.0,0.0
2009-01-26,6039940000.0,1524347800.0,115000000.0,67314400.0,18.0,2240900.0,0.0,0.0
2009-01-27,5353260000.0,1264648400.0,152500000.0,72898600.0,48.0,3420800.0,0.0,0.0
2009-01-28,6199180000.0,1714540500.0,140000000.0,93809800.0,137271.0,4348100.0,0.0,0.0
2009-01-29,5067060000.0,1387667200.0,160300000.0,59937600.0,66607.0,3724400.0,0.0,0.0
2009-01-30,5350580000.0,1496062700.0,148000000.0,99451200.0,10460.0,2630000.0,0.0,0.0
2009-02-02,5673270000.0,929235800.0,159700000.0,47753900.0,3220.0,2700200.0,0.0,0.0
2009-02-03,5886310000.0,1085343300.0,181500000.0,53163700.0,1451.0,2846400.0,0.0,0.0
2009-02-04,6420450000.0,1196794000.0,156800000.0,65511300.0,465.0,2305400.0,0.0,0.0
2009-02-05,6624030000.0,1216188700.0,169500000.0,95946700.0,770.0,2279500.0,0.0,0.0
2009-02-06,6484100000.0,1412522900.0,147300000.0,79125400.0,334.0,1667500.0,0.0,0.0
2009-02-09,5574370000.0,1158075200.0,140500000.0,53789200.0,984.0,2257300.0,0.0,0.0
2009-02-10,6770170000.0,1113424800.0,138600000.0,92940400.0,252.0,3782800.0,0.0,0.0
2009-02-11,5926460000.0,977770500.0,,66598400.0,892.0,2774200.0,0.0,0.0
2009-02-12,6476460000.0,1326826700.0,145900000.0,69735000.0,335.0,1818400.0,0.0,0.0
2009-02-13,5296650000.0,1461771800.0,149700000.0,58072700.0,137.0,2466800.0,0.0,0.0
2009-02-16,,765927300.0,110600000.0,,,,0.0,0.0
2009-02-17,5907820000.0,1226667200.0,120800000.0,115591100.0,1639.0,2813900.0,0.0,0.0
2009-02-18,5740710000.0,1275963400.0,149400000.0,83947600.0,422.0,2768600.0,0.0,0.0
2009-02-19,5746940000.0,1173914600.0,138200000.0,59593900.0,202.0,3219400.0,0.0,0.0
2009-02-20,8210590000.0,1300936100.0,140800000.0,102871400.0,219.0,4272000.0,0.0,0.0
2009-02-23,6509300000.0,985111800.0,164300000.0,103469300.0,215.0,2688700.0,0.0,0.0
2009-02-24,7234490000.0,1082778200.0,146800000.0,99563300.0,243.0,4197100.0,0.0,0.0
2009-02-25,7483640000.0,1190213600.0,165300000.0,81182000.0,1019.0,3908100.0,0.0,0.0
2009-02-26,7599970000.0,2078195900.0,143100000.0,56997700.0,687.0,2611100.0,0.0,0.0
2009-02-27,8926480000.0,1662560900.0,140700000.0,74829200.0,730.0,3267700.0,0.0,0.0
2009-03-02,7868290000.0,1489096600.0,125400000.0,97424500.0,474.0,3302000.0,0.0,0.0
2009-03-03,7583230000.0,1550463500.0,146700000.0,85418100.0,362.0,3084900.0,0.0,0.0
2009-03-04,7673620000.0,1282906500.0,159900000.0,102892700.0,155.0,3178400.0,0.0,0.0
2009-03-05,7507250000.0,1517533900.0,185400000.0,101629700.0,141.0,4562400.0,0.0,0.0
